11R2_CV943: ['MQ.11R2.B1', 'MB.A12R2.B1', 'MB.B12R2.B1', 'MB.C12R2.B1']
13R2_CV947: ['MQ.12R2.B1', 'MB.A13R2.B1', 'MB.B13R2.B1', 'MB.C13R2.B1']
13R2_CV943: ['MQ.13R2.B1', 'MB.A14R2.B1', 'MB.B14R2.B1', 'MB.C14R2.B1']
15R2_CV947: ['MQ.14R2.B1', 'MB.A15R2.B1', 'MB.B15R2.B1', 'MB.C15R2.B1']
15R2_CV943: ['MQ.15R2.B1', 'MB.A16R2.B1', 'MB.B16R2.B1', 'MB.C16R2.B1']
17R2_CV947: ['MQ.16R2.B1', 'MB.A17R2.B1', 'MB.B17R2.B1', 'MB.C17R2.B1']
17R2_CV943: ['MQ.17R2.B1', 'MB.A18R2.B1', 'MB.B18R2.B1', 'MB.C18R2.B1']
19R2_CV947: ['MQ.18R2.B1', 'MB.A19R2.B1', 'MB.B19R2.B1', 'MB.C19R2.B1']
19R2_CV943: ['MQ.19R2.B1', 'MB.A20R2.B1', 'MB.B20R2.B1', 'MB.C20R2.B1']
21R2_CV947: ['MQ.20R2.B1', 'MB.A21R2.B1', 'MB.B21R2.B1', 'MB.C21R2.B1']
21R2_CV943: ['MQ.21R2.B1', 'MB.A22R2.B1', 'MB.B22R2.B1', 'MB.C22R2.B1']
23R2_CV947: ['MQ.22R2.B1', 'MB.A23R2.B1', 'MB.B23R2.B1', 'MB.C23R2.B1']
23R2_CV943: ['MQ.23R2.B1', 'MB.A24R2.B1', 'MB.B24R2.B1', 'MB.C24R2.B1']
25R2_CV947: ['MQ.24R2.B1', 'MB.A25R2.B1', 'MB.B25R2.B1', 'MB.C25R2.B1']
25R2_CV943: ['MQ.25R2.B1', 'MB.A26R2.B1', 'MB.B26R2.B1', 'MB.C26R2.B1']
27R2_CV947: ['MQ.26R2.B1', 'MB.A27R2.B1', 'MB.B27R2.B1', 'MB.C27R2.B1']
27R2_CV943: ['MQ.27R2.B1', 'MB.A28R2.B1', 'MB.B28R2.B1', 'MB.C28R2.B1']
29R2_CV947: ['MQ.28R2.B1', 'MB.A29R2.B1', 'MB.B29R2.B1', 'MB.C29R2.B1']
29R2_CV943: ['MQ.29R2.B1', 'MB.A30R2.B1', 'MB.B30R2.B1', 'MB.C30R2.B1']
31R2_CV947: ['MQ.30R2.B1', 'MB.A31R2.B1', 'MB.B31R2.B1', 'MB.C31R2.B1']
31R2_CV943: ['MQ.31R2.B1', 'MB.A32R2.B1', 'MB.B32R2.B1', 'MB.C32R2.B1']
33R2_CV947: ['MQ.32R2.B1', 'MB.A33R2.B1', 'MB.B33R2.B1', 'MB.C33R2.B1']
33R2_CV943: ['MQ.33R2.B1', 'MB.A34R2.B1', 'MB.B34R2.B1', 'MB.C34R2.B1']
33L3_CV947: ['MQ.34R2.B1', 'MB.C34L3.B1', 'MB.B34L3.B1', 'MB.A34L3.B1']
33L3_CV943: ['MQ.33L3.B1', 'MB.C33L3.B1', 'MB.B33L3.B1', 'MB.A33L3.B1']
31L3_CV947: ['MQ.32L3.B1', 'MB.C32L3.B1', 'MB.B32L3.B1', 'MB.A32L3.B1']
31L3_CV943: ['MQ.31L3.B1', 'MB.C31L3.B1', 'MB.B31L3.B1', 'MB.A31L3.B1']
29L3_CV947: ['MQ.30L3.B1', 'MB.C30L3.B1', 'MB.B30L3.B1', 'MB.A30L3.B1']
29L3_CV943: ['MQ.29L3.B1', 'MB.C29L3.B1', 'MB.B29L3.B1', 'MB.A29L3.B1']
27L3_CV947: ['MQ.28L3.B1', 'MB.C28L3.B1', 'MB.B28L3.B1', 'MB.A28L3.B1']
27L3_CV943: ['MQ.27L3.B1', 'MB.C27L3.B1', 'MB.B27L3.B1', 'MB.A27L3.B1']
25L3_CV947: ['MQ.26L3.B1', 'MB.C26L3.B1', 'MB.B26L3.B1', 'MB.A26L3.B1']
25L3_CV943: ['MQ.25L3.B1', 'MB.C25L3.B1', 'MB.B25L3.B1', 'MB.A25L3.B1']
23L3_CV947: ['MQ.24L3.B1', 'MB.C24L3.B1', 'MB.B24L3.B1', 'MB.A24L3.B1']
